Reino,Filo,Classe,Ordem,Família,ID,Espécie,Autor,Nome Comum,Nome em Inglês,Natureza,Endemismo Mata Atlântica,Comportamento Migratório,Sensibilidade,Estado de SP (2018),Brasil (2018),IUCN (2021-1) ,CITES (2021) ,Localidade,Latitude,Longitude
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM01,Caluromys philander,"(Linnaeus, 1758)",cuíca,Bare-tailed Woolly Opussum,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Nascentes do Ribeirão Colônia,-23.84108773,-46.71925358
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM01,Caluromys philander,"(Linnaeus, 1758)",cuíca,Bare-tailed Woolly Opussum,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Natural Municipal Jaceguava,-23.77937311,-46.77398676
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,,Didelphis sp.,"Linnaeus, 1758",gambá,Opossum,NA,NA,NA,NA,NA,NA,NA,NA,Parque Municipal Guabirobeira,-23.61683674,-46.43828583
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,,Didelphis sp.,"Linnaeus, 1758",gambá,Opossum,NA,NA,NA,NA,NA,NA,NA,NA,Parque Municipal Verde do São Lucas - Linhas Correntes,-23.58611838,-46.55498278
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM02,Didelphis albiventris,"Lund, 1840",gambá-de-orelha-branca,Guaiba Dwarf Mouse Opossum ,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Campo de Marte,-23.51175275,-46.62995165
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM02,Didelphis albiventris,"Lund, 1840",gambá-de-orelha-branca,Guaiba Dwarf Mouse Opossum ,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal do Carmo - Olavo Egydio Setubal,-23.57384163,-46.46432938
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM02,Didelphis albiventris,"Lund, 1840",gambá-de-orelha-branca,Guaiba Dwarf Mouse Opossum ,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Linear do Córrego do Bispo,-23.45153927,-46.65727371
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM02,Didelphis albiventris,"Lund, 1840",gambá-de-orelha-branca,Guaiba Dwarf Mouse Opossum ,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Reserva Particular do Patrimônio Natural Fazenda Mutinga,-23.50052234,-46.75351809
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM03,Didelphis aurita,"(Wied-Neuwied, 1826)",gambá-de-orelha-preta,Big-eared Opossum,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Aclimação,-23.57461658,-46.62872824
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM03,Didelphis aurita,"(Wied-Neuwied, 1826)",gambá-de-orelha-preta,Big-eared Opossum,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Alfredo Volpi,-23.58770441,-46.70255088
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM03,Didelphis aurita,"(Wied-Neuwied, 1826)",gambá-de-orelha-preta,Big-eared Opossum,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Alto da Boa Vista,-23.64786159,-46.6902424
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM03,Didelphis aurita,"(Wied-Neuwied, 1826)",gambá-de-orelha-preta,Big-eared Opossum,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Barragem do Guarapiranga,-23.67597714,-46.71441887
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM03,Didelphis aurita,"(Wied-Neuwied, 1826)",gambá-de-orelha-preta,Big-eared Opossum,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Buenos Aires,-23.5455262,-46.6589885
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,MM03,Didelphis aurita,"(Wied-Neuwied, 1826)",gambá-de-orelha-preta,Big-eared Opossum,NatAUT,NÃO,NA,NA,NL,MMA-LC,IUCN-LC,NL,Parque Municipal Burle Marx,-23.63227886,-46.72116091
