registro,especie,publicacao_selecionada,localidade,estado,Latitude_GMS,Longitude_GMS,Latitude,Longitude,UC
1,Didelphis aurita,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
2,Didelphis aurita,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
3,Didelphis aurita,Gentile et al 2018,Pedra Branca State Park,RJ,22°55’57”S,43°26’34”W,-22.93833333,-43.40305556,Sim
4,Didelphis aurita,Gentile et al 2018,Pedra Branca State Park,RJ,22°55’57”S,43°26’34”W,-22.93833333,-43.40305556,Sim
5,Marmosa paraguayana,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
6,Marmosa paraguayana,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
7,Marmosa paraguayana,Gentile et al 2018,Pedra Branca State Park,RJ,22°55’57”S,43°26’34”W,-22.93833333,-43.40305556,Sim
8,Metachirus nudicaudatus,Gentile et al 2018,Pedra Branca State Park,RJ,22°55’57”S,43°26’34”W,-22.93833333,-43.40305556,Sim
9,Metachirus nudicaudatus,Gentile et al 2018,Pedra Branca State Park,RJ,22°55’57”S,43°26’34”W,-22.93833333,-43.40305556,Sim
10,Gracilinanus microtarsus,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
11,Gracilinanus microtarsus,Gentile et al 2018,Pedra Branca State Park,RJ,22°55’57”S,43°26’34”W,-22.93833333,-43.40305556,Sim
12,Monodelphis Americana,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
13,Monodelphis Americana,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
14,Akodon cursor,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
15,Akodon cursor,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
16,Oligoryzomys nigripes,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
17,Oligoryzomys nigripes,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
18,Oligoryzomys nigripes,Gentile et al 2018,Pedra Branca State Park,RJ,22°55’57”S,43°26’34”W,-22.93833333,-43.40305556,Sim
19,Coendou spinosus,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
20,Rattus rattus,Gentile et al 2018,Campus FIOCRUZ Mata Atlântica,RJ,22°56’18”S,43°24’11”W,-22.93833333,-43.40305556,Não
21,Bradypus variegatus,"de Andrade et al, 2020",Mata do Buraquinho,PB,07°08’15”S,34°51’45”W,-7.1375,-34.8625,Não
22,Bradypus variegatus,"de Andrade et al, 2020",Universidade Federal da Paraiba,PB,07°08’15”S,34°50’45”W,-7.1375,-34.84583333,Não
23,Callithrix jacchus,"de Andrade et al, 2020",Mata do Buraquinho,PB,07°08’15”S,34°51’45”W,-7.1375,-34.8625,Não
24,Callithrix jacchus,"de Andrade et al, 2020",Universidade Federal da Paraiba,PB,07°08’15”S,34°50’45”W,-7.1375,-34.84583333,Não
25,Holochilus brasiliensis,"Almeida et al, 2020",Campos dos Goytacazes,RJ,"21°46’40,094”S","41°19’51,481”W",-21.777804,-41.330967,Não
26,Mus musculus,"Almeida et al, 2020",Campos dos Goytacazes,RJ,"21°46’40,094”S","41°19’51,481”W",-21.777804,-41.330967,Não
27,Necromys lasiurus,"Almeida et al, 2020",Campos dos Goytacazes,RJ,"21°46’40,094”S","41°19’51,481”W",-21.777804,-41.330967,Não
28,Cryptonanus sp.,"Almeida et al, 2020",Campos dos Goytacazes,RJ,"21°46’40,094”S","41°19’51,481”W",-21.777804,-41.330967,Não
29,Bradypus variegatus,"Araujo & Moreira, 2020",João Pessoa,PB,07°08’54”S,34º53’06”W,-7.148333333,-34.885,Não
30,Callithrix jacchus,"Araujo & Moreira, 2020",João Pessoa,PB,07°08’54”S,34º53’06”W,-7.148333333,-34.885,Não
31,Cerdocyon thous,"Araujo & Moreira, 2020",João Pessoa,PB,07°08’54”S,34º53’06”W,-7.148333333,-34.885,Não
32,Cavia sp.,"Araujo & Moreira, 2020",João Pessoa,PB,07°08’54”S,34º53’06”W,-7.148333333,-34.885,Não
33,Dasyprocta prymnolopha,"Araujo & Moreira, 2020",João Pessoa,PB,07°08’54”S,34º53’06”W,-7.148333333,-34.885,Não
34,Didelphis albiventris,"Araujo & Moreira, 2020",João Pessoa,PB,07°08’54”S,34º53’06”W,-7.148333333,-34.885,Não
35,Thrichomys apereoides,"Araujo & Moreira, 2020",João Pessoa,PB,07°08’54”S,34º53’06”W,-7.148333333,-34.885,Não
