registro,especie,publicacao_selecionada,localidade,estado,Latitude_GMS,Longitude_GMS,Latitude,Longitude,UC
1,Canis lupus,Allemand_2019_Mastozoologia_Neotropical,Minicípio de Castelo,Espírito Santo,"-20º36'41""","-41º10'07""",-20.61138889,-41.16861111,Parque Estaudal Mata das Flores
2,Mazama americana,Allemand_2019_Mastozoologia_Neotropical,Município de Rio Claro,São Paulo,"-22º24'39""","-47º33""39""",-22.41083333,-47.56083333,Não
3,Mazama americana,Allemand_2019_Mastozoologia_Neotropical,Município de Ararars,São Paulo,"-22º21'25""","-47º23""03""",-22.35694444,-47.38416667,Não
4,Mazama gouazoubira,Allemand_2019_Mastozoologia_Neotropical,Munícpio de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
5,Sus scrofa,Allemand_2019_Mastozoologia_Neotropical,Município de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
6,Canis familiaris,Allemand_2019_Mastozoologia_Neotropical,Município de São Luiz do Piratinga,São Paulo,"-23º13'17""","-45º18'37""",-23.22138889,-45.31027778,Não
7,Canis familiaris,Allemand_2019_Mastozoologia_Neotropical,Municipio de Jacarei,São Paulo,"-23º18'10""","-45º17'30""",-23.30277778,-45.29166667,Não
8,Canis familiaris,Allemand_2019_Mastozoologia_Neotropical,Munícipio de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
9,Cerdocyon thous,Allemand_2019_Mastozoologia_Neotropical,Município de Sorocaba,São Paulo,"-23º21'17""","-47º30'11""",-23.35472222,-47.50305556,Não
10,Cerdocyon thous,Allemand_2019_Mastozoologia_Neotropical,Município de São Luiz do Piratinga,São Paulo,"-23º13'17""","-45º18'37""",-23.22138889,-45.31027778,Não
11,Cerdocyon thous,Allemand_2019_Mastozoologia_Neotropical,Municipio de Jacarei,São Paulo,"-23º18'10""","-45º17'30""",-23.30277778,-45.29166667,Não
12,Cerdocyon thous,Allemand_2019_Mastozoologia_Neotropical,Munícpio de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
13,Cerdocyon thous,Allemand_2019_Mastozoologia_Neotropical,Município de Rio Claro,São Paulo,"-22º24'39""","-47º33""39""",-22.41083333,-47.56083333,Não
14,Cerdocyon thous,Allemand_2019_Mastozoologia_Neotropical,Município de Ararars,São Paulo,"-22º21'25""","-47º23""03""",-22.35694444,-47.38416667,Não
15,Felis catus,Allemand_2019_Mastozoologia_Neotropical,Município de São Luiz do Piratinga,São Paulo,"-23º13'17""","-45º18'37""",-23.22138889,-45.31027778,Não
16,Felis catus,Allemand_2019_Mastozoologia_Neotropical,Munícpio de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
17,Leopardus guttulus,Allemand_2019_Mastozoologia_Neotropical,Munícpio de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
18,Leopardus pardalis,Allemand_2019_Mastozoologia_Neotropical,Município de São Luiz do Piratinga,São Paulo,"-23º13'17""","-45º18'37""",-23.22138889,-45.31027778,Não
19,Puma concolor,Allemand_2019_Mastozoologia_Neotropical,Munícpio de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
20,Herpailurus yagouaroundi,Allemand_2019_Mastozoologia_Neotropical,Munícpio de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
21,Eira barbara,Allemand_2019_Mastozoologia_Neotropical,Município de São Luiz do Piratinga,São Paulo,"-23º13'17""","-45º18'37""",-23.22138889,-45.31027778,Não
22,Eira barbara,Allemand_2019_Mastozoologia_Neotropical,Município de Rio Claro,São Paulo,"-22º24'39""","-47º33""39""",-22.41083333,-47.56083333,Não
23,Eira barbara,Allemand_2019_Mastozoologia_Neotropical,Município de Ararars,São Paulo,"-22º21'25""","-47º23""03""",-22.35694444,-47.38416667,Não
24,Eira barbara,Allemand_2019_Mastozoologia_Neotropical,Munícpio de Piracicaba,São Paulo,"-22º43'30""","-47º38'56""",-22.725,-47.64888889,Não
25,Galictis cuja,Allemand_2019_Mastozoologia_Neotropical,Município de Sorocaba,São Paulo,"-23º21'17""","-47º30'11""",-23.35472222,-47.50305556,Não
26,Galictis cuja,Allemand_2019_Mastozoologia_Neotropical,Municipio de Jacarei,São Paulo,"-23º18'10""","-45º17'30""",-23.30277778,-45.29166667,Não
